,Unnamed: 0,AQI,CO AQI,Ozone AQI,NO2 AQI,PM2.5 AQI,Latitude,Longitude,clusters
0,0,51,1,36,0,51,44.7444,44.2031,1
1,1,41,1,5,1,41,-5.29,-44.49,1
2,2,41,1,5,1,41,-11.2958,-41.9869,1
3,3,66,1,39,2,66,37.1667,15.1833,1
4,4,34,1,34,0,20,53.0167,20.8833,1
5,5,54,1,14,11,54,16.1005,-88.8074,1
6,6,54,1,14,11,54,26.8941,-82.0513,1
7,7,64,1,29,7,64,51.0761,4.2803,1
8,8,54,1,41,1,54,44.05,43.0667,1
9,9,68,2,68,1,58,21.95,108.6167,1
10,10,41,1,24,6,41,52.3833,6.2667,1
11,11,59,1,30,4,59,50.3892,3.4858,1
12,12,55,1,47,0,55,37.3833,14.7,1
13,13,72,1,4,23,72,33.5722,-112.0892,1
14,14,28,1,28,2,28,52.0667,21.0167,1
15,15,154,5,0,13,154,-22.5128,-44.0008,1
16,16,67,1,16,2,67,9.7919,-74.7872,1
17,17,62,1,37,1,62,43.9333,23.0833,1
18,18,31,1,31,0,17,56.45,60.1833,1
19,19,56,1,35,0,56,46.9061,6.3547,1
20,20,77,2,22,15,77,42.6493,-83.2878,1
21,21,77,2,22,15,77,40.8894,-88.6409,1
22,22,44,1,15,0,44,-0.0206,109.3414,1
23,23,30,1,9,2,30,-22.7558,-51.3789,1
24,24,30,1,30,1,15,61.4833,21.8,1
25,25,79,3,18,5,79,-33.9581,25.6,1
26,26,34,1,19,7,34,29.9765,-93.9459,1
27,27,51,1,20,5,51,51.5906,-3.7986,1
28,28,77,1,34,0,77,34.1754,-103.3565,1
29,29,61,1,32,3,61,47.7213,-116.9384,1
30,30,32,1,7,2,32,-22.2281,-45.9336,1
31,31,29,0,29,0,25,44.55,135.5833,1
32,32,247,3,162,1,247,26.17,85.9,1
33,33,45,1,32,7,45,39.7805,-84.2003,1
34,34,45,1,32,7,45,39.2592,-119.5653,1
35,35,45,1,32,7,45,30.0315,-94.9158,1
36,36,36,1,25,3,36,50.9833,3.5333,1
37,37,124,2,15,5,124,18.55,-72.3,1
38,38,72,1,26,2,72,32.2631,-107.7525,1
39,39,55,0,32,1,55,33.2175,-97.1418,1
40,40,55,0,32,1,55,53.4554,-2.1122,1
41,41,31,0,31,0,25,30.395,-86.4701,1
42,42,60,1,31,1,60,12.127,78.158,1
43,43,30,1,17,0,30,8.5872,123.3408,1
44,44,44,1,34,0,44,56.6167,23.2667,1
45,45,47,1,37,4,47,42.9004,-85.7564,1
46,46,37,0,32,2,37,51.7667,5.7333,1
47,47,44,1,14,8,44,31.8393,-111.0009,1
48,48,44,1,14,8,44,39.3414,-77.24,1
49,49,58,2,14,24,58,42.9371,-88.0018,1
50,50,89,3,3,6,89,4.0833,-74.9167,1
51,51,52,2,38,7,52,42.2,14.2167,1
52,52,51,1,25,6,51,51.2365,-0.5703,1
53,53,38,1,38,0,13,48.05,39.9167,1
54,54,88,2,11,20,88,38.7931,-90.3899,1
55,55,54,1,31,3,54,49.5053,8.6033,1
56,56,44,1,28,3,44,51.3167,6.9667,1
57,57,51,1,26,6,51,51.7526,-0.4692,1
58,58,67,2,15,23,67,40.7637,-73.5245,1
59,59,49,1,25,3,49,50.7422,8.2039,1
60,60,203,5,203,5,151,30.25,120.1675,1
61,61,35,0,32,0,35,54.7972,9.3764,1
62,62,90,1,25,2,90,40.7431,-74.1531,1
63,63,90,1,25,2,90,41.0236,-73.7193,1
64,64,90,1,25,2,90,36.2438,-93.1198,1
65,65,90,1,25,2,90,39.2584,-84.7868,1
66,66,90,1,25,2,90,44.1935,-88.2941,1
67,67,90,1,25,2,90,40.6374,-79.7173,1
68,68,36,0,34,1,36,52.2167,7.9167,1
69,69,48,1,28,4,48,50.6092,2.9869,1
70,70,41,1,28,10,41,51.019,-3.1,1
71,71,41,1,28,10,41,41.9036,-71.0943,1
72,72,19,0,19,1,17,-37.6833,176.1667,1
73,73,47,1,47,1,36,41.25,14.0667,1
74,74,155,3,82,1,155,18.6057,84.2355,1
75,75,46,1,9,1,46,-22.5328,-52.1678,1
76,76,64,1,15,2,64,20.8794,-103.8356,1
77,77,44,1,44,1,38,42.6589,13.7039,1
78,78,142,4,113,9,142,39.1467,117.2056,1
79,79,54,1,20,0,54,10.7167,123.5167,1
80,80,60,1,44,3,60,35.7996,139.4686,1
81,81,166,4,8,19,166,19.2925,-99.6569,1
82,82,27,0,23,1,27,-7.7764,-34.8919,1
83,83,23,1,7,1,23,-15.66,-40.0658,1
84,84,31,1,13,0,31,-18.4167,-49.2167,1
85,85,90,2,22,9,90,13.7333,-89.6667,1
86,86,51,1,38,0,51,42.5633,47.8636,1
87,87,170,1,38,0,170,23.1667,79.9333,1
88,88,22,0,9,1,22,-13.5308,-39.9708,1
89,89,47,1,27,2,47,51.9667,17.5,1
90,90,59,1,32,0,59,8.65,124.75,1
91,91,133,4,23,3,133,7.84,4.486,1
92,92,29,1,29,1,7,61.1833,28.7667,1
93,93,73,2,2,8,73,-26.8978,-49.2319,1
94,94,50,0,24,0,50,14.2,120.8833,1
95,95,25,0,9,1,25,-14.1628,-40.0058,1
96,96,90,3,18,2,90,7.9667,3.6,1
97,97,81,2,26,3,81,18.0292,-95.5264,1
98,98,29,0,20,1,29,-3.9689,-38.5278,1
99,99,44,1,16,1,44,-21.0108,-40.8339,1
100,100,65,1,12,0,65,4.4081,32.575,1
101,101,53,1,28,10,53,40.2237,-74.7641,1
102,102,53,1,28,10,53,42.1394,-83.1929,1
103,103,53,1,28,10,53,39.4792,-84.462,1
104,104,56,0,23,0,56,18.3599,-66.0096,1
105,105,57,1,26,3,57,53.2667,-7.5,1
106,106,62,0,35,0,62,39.1064,39.5472,1
107,107,49,1,27,4,49,44.1565,-87.5824,1
108,108,34,1,34,0,32,55.8667,72.2,1
109,109,163,2,92,0,163,23.5247,80.8372,1
110,110,126,4,3,36,126,33.9209,-118.2356,1
111,111,126,4,3,36,126,41.7641,-87.9454,1
112,112,63,2,9,22,63,42.0771,-87.7282,1
113,113,53,2,27,10,53,38.9395,-77.2842,1
114,114,86,2,38,10,86,42.132,-83.2374,1
115,115,112,2,44,4,112,30.1697,121.2665,1
116,116,155,3,155,2,151,33.3936,120.1339,1
117,117,121,4,24,0,121,0.7675,24.4414,1
118,118,69,2,48,0,69,42.9044,129.5067,1
119,119,47,1,34,3,47,42.8901,-97.3927,1
120,120,69,1,34,4,69,50.9667,7.8667,1
121,121,64,1,32,6,64,51.0,3.8833,1
122,122,20,1,20,1,10,60.7029,-135.0691,1
123,123,38,1,30,3,38,52.9779,-6.033,1
124,124,59,1,27,3,59,47.4667,9.05,1
125,125,67,1,30,5,67,52.9,8.4333,1
126,126,75,2,13,16,75,41.2399,-77.037,1
127,127,60,2,18,21,60,42.4239,-88.1844,1
128,128,36,1,36,0,25,55.8333,12.0666,1
129,129,41,1,30,8,41,38.7601,-76.9642,1
130,130,44,1,28,2,44,51.3484,9.5256,1
131,131,29,1,26,1,29,43.342,142.3832,1
132,132,168,3,168,5,99,27.9814,116.3577,1
